,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,time,sh_entropy,k,disc,min_entropy
6787,0.0,9.0,0.0,1.0,1.0,149.0,0.0,1.0,0.0,6.0,10.0,149.0,2.0,0.0,0.0,3.0,194.00574731826782,1,2,1,1.0
6793,0.0,9.0,0.0,1.0,1.0,150.0,0.0,1.0,0.0,6.0,9.0,148.0,2.0,0.0,0.0,3.0,194.179372549057,1,2,1,1.0
6794,0.0,9.0,0.0,1.0,1.0,151.0,0.0,1.0,0.0,6.0,9.0,148.0,2.0,0.0,0.0,3.0,194.1878182888031,1,2,1,1.0
6795,0.0,9.0,0.0,1.0,1.0,152.0,0.0,1.0,0.0,6.0,9.0,148.0,2.0,0.0,0.0,3.0,194.19629836082458,1,2,1,1.0
6797,0.0,9.0,0.0,1.0,1.0,149.0,0.0,1.0,0.0,6.0,9.0,148.0,2.0,0.0,0.0,3.0,194.22994804382324,1,2,1,1.0
6798,0.0,9.0,0.0,1.0,1.0,152.0,0.0,1.0,0.0,6.0,9.0,149.0,2.0,0.0,0.0,3.0,194.28055477142334,1,2,1,1.0
6799,0.0,9.0,0.0,1.0,1.0,151.0,0.0,1.0,0.0,6.0,9.0,149.0,2.0,0.0,0.0,3.0,194.28892755508423,1,2,1,1.0
6801,0.0,9.0,0.0,1.0,1.0,152.0,0.0,1.0,0.0,5.0,9.0,149.0,2.0,0.0,0.0,3.0,194.4104769229889,1,2,1,1.0
6803,0.0,10.0,0.0,1.0,1.0,152.0,0.0,1.0,0.0,6.0,9.0,149.0,2.0,0.0,0.0,3.0,194.42790055274963,1,2,1,1.0
6804,0.0,10.0,0.0,1.0,1.0,152.0,0.0,1.0,0.0,6.0,9.0,150.0,2.0,0.0,0.0,3.0,194.43649005889893,1,2,1,1.0
6805,0.0,10.0,0.0,1.0,1.0,153.0,0.0,1.0,0.0,6.0,9.0,150.0,2.0,0.0,0.0,3.0,194.44509100914001,1,2,1,1.0
6806,0.0,10.0,0.0,1.0,1.0,153.0,0.0,1.0,0.0,7.0,9.0,150.0,2.0,0.0,0.0,3.0,194.4537959098816,1,2,1,1.0
6807,0.0,10.0,0.0,1.0,1.0,152.0,0.0,1.0,0.0,7.0,9.0,150.0,2.0,0.0,0.0,3.0,194.46254873275757,1,2,1,1.0
6808,0.0,10.0,0.0,0.0,1.0,152.0,0.0,1.0,0.0,7.0,9.0,150.0,2.0,0.0,0.0,3.0,194.47101545333862,1,2,1,1.0
6809,0.0,10.0,0.0,0.0,1.0,152.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.4796280860901,1,2,1,1.0
6810,0.0,10.0,0.0,0.0,1.0,153.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.4881591796875,1,2,1,1.0
6811,0.0,11.0,0.0,0.0,1.0,153.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.50531673431396,1,2,1,1.0
6813,0.0,10.0,0.0,1.0,1.0,153.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.52249908447266,1,2,1,1.0
6814,0.0,10.0,0.0,0.0,1.0,154.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.53109455108643,1,2,1,1.0
6816,0.0,10.0,0.0,0.0,1.0,153.0,0.0,1.0,0.0,7.0,9.0,150.0,2.0,0.0,0.0,3.0,194.58151507377625,1,2,1,1.0
6819,0.0,10.0,0.0,0.0,1.0,155.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.649484872818,1,2,1,1.0
6821,0.0,10.0,0.0,0.0,1.0,156.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.67489647865295,1,2,1,1.0
6822,0.0,10.0,0.0,0.0,1.0,157.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.68311524391174,1,2,1,1.0
6823,0.0,10.0,0.0,1.0,1.0,157.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.69990634918213,1,2,1,1.0
6825,0.0,10.0,0.0,0.0,1.0,157.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,194.72497153282166,1,2,1,1.0
6826,0.0,10.0,0.0,0.0,1.0,158.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,194.7334656715393,1,2,1,1.0
6827,0.0,10.0,0.0,1.0,1.0,158.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,194.74201321601868,1,2,1,1.0
6828,0.0,10.0,0.0,0.0,1.0,159.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,194.75027990341187,1,2,1,1.0
6829,0.0,10.0,0.0,0.0,1.0,156.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,194.791898727417,1,2,1,1.0
6830,0.0,10.0,0.0,0.0,1.0,156.0,0.0,1.0,0.0,7.0,9.0,147.0,2.0,0.0,0.0,3.0,194.80022406578064,1,2,1,1.0
6831,0.0,10.0,0.0,0.0,1.0,155.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,194.87037992477417,1,2,1,1.0
6832,0.0,10.0,0.0,0.0,1.0,154.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,194.89580011367798,1,2,1,1.0
6833,0.0,10.0,0.0,0.0,1.0,159.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.95258855819702,1,2,1,1.0
6834,0.0,10.0,0.0,0.0,1.0,158.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.9608404636383,1,2,1,1.0
6835,0.0,10.0,0.0,0.0,1.0,158.0,0.0,1.0,0.0,6.0,9.0,149.0,2.0,0.0,0.0,3.0,194.9691503047943,1,2,1,1.0
6836,0.0,10.0,0.0,0.0,1.0,160.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,194.9858295917511,1,2,1,1.0
6837,0.0,10.0,0.0,0.0,1.0,161.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,195.01082491874695,1,2,1,1.0
6838,0.0,10.0,0.0,0.0,1.0,160.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,195.02699518203735,1,2,1,1.0
6839,0.0,10.0,0.0,0.0,1.0,161.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,195.04324507713318,1,2,1,1.0
6840,0.0,10.0,0.0,0.0,1.0,162.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,195.05134749412537,1,2,1,1.0
6841,0.0,10.0,0.0,0.0,1.0,163.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,195.05940222740173,1,2,1,1.0
6843,0.0,10.0,0.0,0.0,1.0,162.0,0.0,1.0,0.0,7.0,9.0,147.0,2.0,0.0,0.0,3.0,195.11743426322937,1,2,1,1.0
6845,0.0,10.0,0.0,0.0,1.0,161.0,0.0,1.0,0.0,7.0,9.0,147.0,2.0,0.0,0.0,3.0,195.1337525844574,1,2,1,1.0
6847,0.0,10.0,1.0,0.0,1.0,162.0,0.0,1.0,0.0,7.0,9.0,147.0,2.0,0.0,0.0,3.0,195.15809154510498,1,2,1,1.0
6848,0.0,10.0,1.0,0.0,1.0,162.0,0.0,1.0,0.0,7.0,9.0,147.0,1.0,0.0,0.0,3.0,195.16638922691345,1,2,1,1.0
6849,0.0,10.0,1.0,0.0,1.0,162.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.17497563362122,1,2,1,1.0
6851,0.0,10.0,1.0,0.0,1.0,161.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.2001235485077,1,2,1,1.0
6852,0.0,9.0,1.0,0.0,1.0,161.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.20822477340698,1,2,1,1.0
6853,0.0,8.0,1.0,0.0,1.0,161.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.2165732383728,1,2,1,1.0
6854,0.0,9.0,1.0,0.0,1.0,160.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.22535395622253,1,2,1,1.0
6855,0.0,9.0,1.0,0.0,1.0,161.0,0.0,1.0,0.0,7.0,9.0,149.0,1.0,0.0,0.0,3.0,195.23362684249878,1,2,1,1.0
6856,0.0,9.0,1.0,0.0,1.0,162.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.2416422367096,1,2,1,1.0
6857,0.0,9.0,1.0,0.0,1.0,162.0,0.0,1.0,0.0,7.0,9.0,149.0,1.0,0.0,0.0,3.0,195.24983596801758,1,2,1,1.0
6858,0.0,9.0,1.0,0.0,1.0,163.0,0.0,1.0,0.0,7.0,9.0,149.0,1.0,0.0,0.0,3.0,195.25796818733215,1,2,1,1.0
6859,0.0,9.0,1.0,0.0,1.0,164.0,0.0,1.0,0.0,7.0,9.0,149.0,1.0,0.0,0.0,3.0,195.26605439186096,1,2,1,1.0
6860,0.0,9.0,1.0,0.0,1.0,165.0,0.0,1.0,0.0,7.0,9.0,149.0,1.0,0.0,0.0,3.0,195.27418613433838,1,2,1,1.0
6861,0.0,9.0,1.0,0.0,1.0,165.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.2903027534485,1,2,1,1.0
6862,0.0,9.0,1.0,0.0,1.0,165.0,0.0,1.0,0.0,7.0,9.0,150.0,1.0,0.0,0.0,3.0,195.29838228225708,1,2,1,1.0
6863,0.0,9.0,1.0,0.0,1.0,166.0,0.0,1.0,0.0,7.0,9.0,150.0,1.0,0.0,0.0,3.0,195.30656719207764,1,2,1,1.0
6864,0.0,9.0,1.0,0.0,1.0,167.0,0.0,1.0,0.0,7.0,9.0,150.0,1.0,0.0,0.0,3.0,195.31452059745789,1,2,1,1.0
6865,0.0,9.0,1.0,0.0,1.0,168.0,0.0,1.0,0.0,7.0,9.0,150.0,1.0,0.0,0.0,3.0,195.3307545185089,1,2,1,1.0
6867,0.0,8.0,1.0,0.0,1.0,167.0,0.0,1.0,0.0,7.0,9.0,150.0,1.0,0.0,0.0,3.0,195.3972363471985,1,2,1,1.0
6868,0.0,8.0,1.0,0.0,1.0,167.0,0.0,1.0,0.0,7.0,9.0,149.0,1.0,0.0,0.0,3.0,195.40582847595215,1,2,1,1.0
6869,0.0,8.0,1.0,0.0,1.0,168.0,0.0,1.0,0.0,7.0,9.0,149.0,1.0,0.0,0.0,3.0,195.41417837142944,1,2,1,1.0
6871,0.0,8.0,1.0,1.0,1.0,168.0,0.0,1.0,0.0,7.0,9.0,149.0,1.0,0.0,0.0,3.0,195.5196692943573,1,2,1,1.0
6872,0.0,8.0,1.0,0.0,1.0,169.0,0.0,1.0,0.0,7.0,9.0,149.0,1.0,0.0,0.0,3.0,195.52820444107056,1,2,1,1.0
6873,0.0,8.0,1.0,0.0,1.0,169.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.53679895401,1,2,1,1.0
6874,0.0,8.0,1.0,0.0,1.0,168.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.55379056930542,1,2,1,1.0
6875,0.0,8.0,1.0,0.0,1.0,167.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.5620288848877,1,2,1,1.0
6876,0.0,8.0,1.0,0.0,1.0,166.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.57027769088745,1,2,1,1.0
6877,0.0,8.0,1.0,0.0,1.0,166.0,0.0,1.0,0.0,7.0,9.0,148.0,2.0,0.0,0.0,3.0,195.57865047454834,1,2,1,1.0
6878,0.0,8.0,1.0,0.0,1.0,166.0,0.0,1.0,0.0,7.0,9.0,149.0,1.0,0.0,0.0,3.0,195.58694195747375,1,2,1,1.0
6879,0.0,8.0,1.0,0.0,1.0,166.0,0.0,1.0,0.0,7.0,9.0,149.0,2.0,0.0,0.0,3.0,195.61243677139282,1,2,1,1.0
6881,0.0,8.0,2.0,0.0,1.0,168.0,0.0,1.0,0.0,7.0,9.0,148.0,1.0,0.0,0.0,3.0,195.7677881717682,1,2,1,1.0
